id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
M017,magic,Cendres,Mains_de_cendre,SkillAttack,control,mid,medium,medium,Ash,,pull_up,multi,,false,Elden Ring|Dark fantasy cinema,"Les doigts tirent vers le haut, des formes de cendre retiennent brièvement."
M018,magic,Cendres,Souffle_du_four,SkillAttack,cone,mid,medium,high,Ash,,breath_and_push,cone,,false,Dragon's Dogma|Fantasy cinema,Inspiration visible puis poussée des deux mains; vague brûlante sale.
M019,magic,Cendres,Lame_de_suie,SkillAttack,melee_spell,close_mid,fast,medium,Ash,,arm_blade,arc,,false,Final Fantasy XVI|Elden Ring,Avant-bras forme une lame sombre pour une seule coupe magique.
M020,magic,Cendres,Chute_de_scorie,SkillAttack,rain,area_long,slow,high,Ash,,raise_crush,multi,,false,Dragon's Dogma|Elden Ring,Bras levé puis poing écrase vers le bas; blocs/cendres tombent.
M021,magic,Cendres,Cercle_de_deperissement,SkillAttack,debuff_zone,mid,medium,medium,Ash,,draw_circle,area,,false,Elden Ring|Hogwarts Legacy,Index dessine un cercle incomplet qui s'étend au sol.
M022,magic,Cendres,Propagation,SkillAttack,chain,mid_long,fast,medium,Ash,,snap_chain,multi,,false,Action magic games|Hogwarts Legacy,Claquement de doigts déclenche le transfert d'une cible contaminée aux proches.
M023,magic,Cendres,Mue_de_cendre,SkillAttack,defense,self,fast,high,Ash,,shed_motion,self,,false,Dark fantasy cinema|Action games,Le lanceur abandonne une enveloppe de cendre et se décale légèrement.
M024,magic,Cendres,Effondrement_gris,SkillAttack,finisher,mid,slow,very_high,Ash,,grasp_crush,single,,true,Dark fantasy games|Fantasy films,Main agrippe le vide puis serre; cible condamnée se désagrège partiellement.
M025,magic,Perception,Onde_mentale,SkillAttack,push,mid,fast,low,Psychic,,temple_push,cone,,false,Control|Doctor Strange films,Doigts à la tempe puis paume vers l'avant; onde invisible lisible par distorsion.
M026,magic,Perception,Tir_telekinetique,SkillAttack,projectile,mid_long,fast,medium,Psychic,,grab_throw,single,,false,Control|Fantasy films,Main attrape à distance un débris et le projette sans longue visée.
M027,magic,Perception,Ecrasement_invisible,SkillAttack,crush,mid,medium,high,Psychic,,two_hand_compress,single,,false,Control|Magic cinema,Deux mains compressent l'espace autour d'une cible.
M028,magic,Perception,Mirage_lateral,SkillAttack,decoy,self_mid,fast,medium,Psychic,,face_wipe,single,,false,Action magic games|Doctor Strange films,Main traverse le visage; un double poursuit brièvement le mouvement.
M029,magic,Perception,Fausse_ouverture,SkillAttack,debuff,mid,fast,low,Psychic,,beckon,single,,false,Jedi-like cinema|Action games,Petit geste d'appel qui pousse l'ennemi à engager une attaque prévisible.
M030,magic,Perception,Vertige,SkillAttack,control,mid,medium,medium,Psychic,,spiral_finger,area,,false,Doctor Strange films|Hogwarts Legacy,"Spirale serrée des doigts, distorsion circulaire autour de plusieurs ennemis."
M031,magic,Perception,Peur_reflechie,SkillAttack,debuff,mid,medium,medium,Psychic,,mirror_hands,cone,,false,Fantasy cinema|Psychic games,Paumes comme un miroir qui renvoie une image déformée de la cible.
M032,magic,Perception,Ancrage,SkillAttack,control,mid_long,fast,medium,Psychic,,downward_press,single,,false,Control|Hogwarts Legacy,Paume vers le bas 'cloue' la cible au sol brièvement.
M033,magic,Perception,Impulsion_de_memoire,SkillAttack,stagger,mid,fast,medium,Psychic,,finger_flick,single,,false,Control|Action magic games,Pichenette nette déclenche un choc mental et interrompt.
M034,magic,Perception,Labyrinthe,SkillAttack,zone,mid,slow,high,Psychic,,frame_space,area,,false,Doctor Strange films|Fantasy films,Les mains encadrent l'espace; silhouettes/chemins illusoires brouillent la zone.
M035,magic,Perception,Projection_astrale,SkillAttack,mobility,mid,medium,high,Psychic,,body_pull,self,,false,Doctor Strange films|Magic games,Le geste arrache une silhouette d'énergie qui traverse brièvement la cible/zone.
M036,magic,Perception,Cauchemar_eveille,SkillAttack,finisher,mid,slow,very_high,Psychic,,eye_lock,single,,true,Psychic cinema|Control,"Immobilité presque totale; regard et main ouverte, rupture mentale visuelle minimale."
M037,magic,Porte,Pas_de_faille,SkillAttack,mobility,mid,fast,medium,Portal,,slice_space,self,,false,Doctor Strange films|Dishonored,La main tranche l'air et le corps traverse une fente courte.
M038,magic,Porte,Faille_coupante,SkillAttack,line,mid_long,fast,medium,Portal,,two_finger_cut,line,,false,Doctor Strange films|Action magic games,Deux doigts dessinent une ligne; la coupure spatiale apparaît après un bref délai.
M039,magic,Porte,Fenetre_renversee,SkillAttack,redirect,mid,medium,high,Portal,,circle_turn,single,,false,Doctor Strange films|Portal-like games,Petit anneau ouvre puis pivote pour rediriger projectile/attaque.
M040,magic,Porte,Main_d_ailleurs,SkillAttack,summon_hit,mid,medium,medium,Portal,,reach_pull,single,,false,Doctor Strange films|Fantasy games,Le bras plonge partiellement dans une faille; une autre main frappe depuis un angle impossible.
M041,magic,Porte,Chute_sans_bas,SkillAttack,control,mid,medium,high,Portal,,open_floor,single,,false,Doctor Strange films|Action games,"Paume descendante ouvre une faille sous la cible, chute courte puis rejet."
M042,magic,Porte,Pli_de_distance,SkillAttack,pull,mid_long,fast,medium,Portal,,fold_hands,single,,false,Doctor Strange films|Control,"Deux mains rapprochent symboliquement deux points, tirant la cible vers le joueur."
M043,magic,Porte,Arc_impossible,SkillAttack,crowd,mid,medium,high,Portal,,wide_slice,arc,,false,Action magic games|Fantasy cinema,Grand geste d'arc crée une coupe qui ressort sous plusieurs angles.
M044,magic,Porte,Echo_retarde,SkillAttack,repeat,self,medium,medium,Portal,,double_tap,self,,false,Final Fantasy XVI|Time/space games,Deux impulsions identiques; le second effet répète plus tard la prochaine compétence.
M045,magic,Porte,Prison_angulaire,SkillAttack,control,mid,slow,high,Portal,,box_frame,single,,false,Doctor Strange films|Magic games,Les mains ferment un cadre angulaire autour de la cible.
M046,magic,Porte,Chambre_inverse,SkillAttack,zone,mid,slow,very_high,Portal,,rotate_world,area,,false,Doctor Strange films|Control,Geste circulaire ample; la zone se déforme brièvement sans déplacer la caméra brutalement.
M047,magic,Porte,Dechirure,SkillAttack,burst,mid_long,slow,very_high,Portal,,tear_apart,line,,false,Fantasy cinema|Action RPG magic,Les mains semblent déchirer l'espace en sens opposé; forte attaque de ligne.
M048,magic,Porte,Sentence_du_vide,SkillAttack,finisher,mid,slow,very_high,Portal,,close_rift,single,,true,Doctor Strange films|Dark fantasy games,Deux bords de faille se referment sur une cible ouverte; démembrement possible selon ennemi.
