id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
P027,politics,Commandements,Tourne,SkillAttack,reorient_enemy,mid,fast,medium,Authority,medium,two_finger_circle,single,,false,Control|Dune films|martial arts redirection,"Deux doigts dessinent un demi-cercle; la cible pivote brutalement et expose son flanc."
P028,politics,Commandements,Brise,Heavy,equilibrium_command,close_mid,medium,high,Force,very_high,heavy_hit_plus_downward_command,single,arms,false,God of War|Sekiro|For Honor,"La frappe lourde est suivie d’un ordre bref vers le bas; l’onde secondaire attaque fortement l’Équilibre."
P029,politics,Commandements,Dispersez_vous,SkillAttack,radial_push,close_mid,medium,high,Force,high,crossed_arms_open,radial,torso,false,Dune films|Control|superhero cinema,"Bras croisés au torse puis ouverture brutale; l’onde radiale crée immédiatement de l’espace."
P030,politics,Commandements,Reste,SkillAttack,root,mid,medium,medium,Authority,medium,closed_fist_held,single,legs,false,Dune films|fantasy command magic|Control,"Poing fermé maintenu une courte seconde; la cible semble retenue par une contrainte invisible plutôt que gelée."
P031,politics,Lois,Loi_du_duel,SkillAttack,law_zone,area,medium,high,Law,medium,draw_circle_with_weapon_or_hand,area,,false,samurai duel cinema|Doctor Strange films|For Honor,"Le personnage dessine un cercle net autour de lui; la frontière visuelle doit être sobre et immédiatement lisible."
P032,politics,Lois,Loi_du_talion,Parry,retaliation_law,self,fast,medium,Law,high,parry_then_reverse_palm,single,arms,false,Sekiro|courtroom symbolism|God of War,"Après la parade, la paume se retourne vers l’adversaire comme un miroir; le prochain échange devient réciproque."
P033,politics,Lois,Loi_du_sang,SkillAttack,bleed_law,area,medium,high,Law,medium,two_fingers_trace_red_line,area,,false,dark fantasy games|ritual cinema|Elden Ring,"Deux doigts tracent une ligne horizontale rouge sombre qui s’étend autour du combattant comme une clause active."
P034,politics,Lois,Loi_du_silence,SkillAttack,anti_magic_law,area,slow,high,Law,high,hands_close_inward,area,,false,Doctor Strange films|Dune films|Elden Ring,"Les mains se referment l’une vers l’autre comme des portes; le son et les VFX se contractent avec le geste."
P035,politics,Lois,Loi_de_retribution,SkillAttack,counter_law,area,medium,medium,Law,high,point_self_then_enemy,area,,false,courtroom gesture|Dune films|action RPGs,"Index vers le sternum puis vers les ennemis; deux marques reliées matérialisent la règle de rétribution."
P036,politics,Lois,Loi_du_dernier,SkillAttack,snowball_law,area,medium,high,Law,medium,counting_hand_to_one,area,,false,battle royale cinema|samurai films|boss arena games,"La main compte brièvement plusieurs doigts puis se ferme jusqu’à n’en laisser qu’un; chaque mort renforce la clause."
P037,politics,Lois,Loi_de_la_lumiere,SkillAttack,reveal_law,area,medium,medium,Light,medium,palm_up_raise,area,,false,fantasy cinema|Hogwarts Legacy|Dune films,"Paume levée comme une proclamation publique; une lumière verticale révèle tout ce qui est dissimulé."
P038,politics,Lois,Loi_du_poids,Heavy,gravity_law_hit,close_mid,slow,high,Law,very_high,weapon_or_fist_down_with_stamp,cone,torso,false,God of War|Control|judicial gavel imagery,"Frappe lourde vers le sol suivie d’un arrêt complet; la zone devant le joueur devient momentanément plus pesante."
P039,politics,Lois,Amendement,Dodge,law_switch,self,fast,medium,Law,low,sidestep_and_turn_wrist,self,,false,Sifu|Batman Arkham|ritual hand signs,"Esquive courte et rotation du poignet comme si une clause était réécrite en mouvement."
P040,politics,Lois,Decret_irrevocable,SkillAttack,law_lock,area,slow,very_high,Law,very_high,two_hands_stamp_down,area,,false,Dune films|Doctor Strange films|boss ritual games,"Les deux mains frappent simultanément un sceau horizontal; la Loi active se verrouille avec un choc visuel lourd."
P041,politics,Sentences,Chatiment,SkillAttack,direct_damage,mid_long,fast,medium,Judgment,high,point_then_downcut,single,torso,false,Dune films|Final Fantasy XVI|Control,"Désignation suivie d’une coupe verticale de la main; une frappe d’Autorité tombe immédiatement sur la cible."
P042,politics,Sentences,Confiscation,SkillAttack,drain,mid,medium,medium,Judgment,medium,grasp_pull_to_chest,single,torso,false,Control|Dishonored|dark fantasy games,"Main saisit l’air autour de la cible puis ramène quelque chose vers le sternum; l’effet volé est visible un instant."
P043,politics,Sentences,Exil,SkillAttack,launch,mid,fast,high,Force,very_high,wide_side_cast,single,torso,false,Control|Jedi-like cinema|action cinema,"Grand rejet latéral d’un seul bras; la cible est projetée horizontalement avec potentiel de collision."
P044,politics,Sentences,Saisie_des_biens,Light,resource_strike,close,fast,low,Judgment,medium,quick_hit_then_retract_hand,single,torso,false,John Wick films|Sifu|heist cinema,"Frappe courte suivie d’un retrait de main comme si une ressource était arrachée; aucune pause dans le combo."
P045,politics,Sentences,Peine_aggravee,Heavy,charged_sentence,close_mid,slow,high,Judgment,very_high,weapon_raise_then_two_hand_commit,single,head,false,Sekiro|God of War|samurai cinema,"Préparation lisible puis impact lourd; les charges de Condamnation ajoutent une seconde pulsation à l’impact."
P046,politics,Sentences,Verdict,Parry,sentence_counter,close,fast,medium,Judgment,very_high,perfect_parry_then_short_point,single,head,false,Sekiro|courtroom drama|Sifu,"Après une parade parfaite, très court pointage vers la cible; le verdict convertit instantanément l’ouverture en dégâts."
P047,politics,Sentences,Peine_collective,SkillAttack,area_sentence,mid,medium,high,Judgment,high,both_arms_sweep_inward,multi,torso,false,Dune films|Control|Final Fantasy XVI,"Les bras ramènent plusieurs cibles vers un centre imaginaire puis une impulsion simultanée les frappe."
P048,politics,Sentences,Sentence_suspendue,SkillAttack,delayed_burst,mid_long,medium,medium,Judgment,medium,point_hold_release,single,,false,Dishonored|Control|action magic games,"Le doigt reste pointé un bref instant puis se relâche; le sceau explose avec un délai exploitable pour les combos."
P049,politics,Sentences,Execution,SkillAttack,finisher,close_mid,slow,very_high,Judgment,very_high,weapon_or_hand_execution_line,single,head,true,samurai cinema|Sekiro|13 Assassins,"Animation courte et brutale adaptée à l’arme; un geste cérémoniel minimal précède l’exécution, jamais une longue cinématique."
P050,politics,Sentences,Sentence_capitale,SkillAttack,boss_burst,mid_long,slow,very_high,Judgment,very_high,raised_hand_full_body_drop,single,torso,true,Dune films|Final Fantasy XVI|boss execution games,"Tout le corps participe à une descente unique du bras; les Condamnations sont consommées dans un impact massif lisible sur boss."
P051,politics,Tyrannie,Soumission,SkillAttack,forced_condemnation,mid,fast,high,Tyranny,high,clenched_fist_pull_down,single,torso,false,Dune films|Control|dark fantasy cinema,"Poing fermé tire brutalement vers le bas; plusieurs charges de Condamnation sont imposées sans préparation."
P052,politics,Tyrannie,Obeis,SkillAttack,hard_control,mid,medium,high,Tyranny,very_high,open_hand_then_fist,single,head,false,Dune films|Jedi-like cinema|Control,"Main ouverte encadre la cible puis se ferme; mouvement plus agressif que les Commandements ordinaires."
P053,politics,Tyrannie,Personne_ne_bouge,SkillAttack,area_lock,area,slow,very_high,Tyranny,very_high,both_palms_out,radial,,false,Dune films|superhero cinema|Control,"Les deux paumes se déploient vers l’extérieur; toutes les silhouettes de la zone subissent un arrêt très bref."
P054,politics,Tyrannie,Autorite_absolue,Heavy,tyrant_heavy,close_mid,medium,high,Tyranny,very_high,shoulder_led_execution_hit,single,torso,false,God of War|For Honor|Dune films,"Frappe engagée sans recul défensif, épaule et bassin projetés en avant; l’impact génère une onde sombre d’Autorité."
P055,politics,Tyrannie,Pas_du_tyran,Dodge,aggressive_dodge,close_mid,fast,high,Tyranny,medium,forward_slip_through,self,,false,Batman Arkham|Sifu|villain cinema,"Esquive traverse presque la ligne d’attaque au lieu de fuir; le personnage termine très près de sa prochaine cible."
P056,politics,Tyrannie,Refus_de_la_douleur,Parry,brutal_parry,close,fast,medium,Tyranny,very_high,armored_forearm_stop,single,arms,false,God of War|Sekiro|villain cinema,"Parade volontairement dure, presque un choc frontal; très peu de recul visuel, mais coût élevé en ressource."
P057,politics,Tyrannie,Deux_lois,SkillAttack,dual_law,area,slow,very_high,Tyranny,high,split_hand_two_sigils,area,,false,Doctor Strange films|Dune films|boss ritual games,"Chaque main trace un sceau différent de part et d’autre du corps; les deux se verrouillent simultanément."
P058,politics,Tyrannie,Terreur_absolue,SkillAttack,fear_burst,mid,medium,high,Tyranny,high,slow_head_turn_then_hand_open,cone,head,false,Dune films|horror cinema|Control,"Le regard précède le geste; la main s’ouvre lentement puis une pulsation violente déclenche la terreur."
P059,politics,Tyrannie,Volonte_unique,SkillAttack,power_state,self,slow,very_high,Tyranny,medium,one_hand_over_heart_other_forward,self,,false,Dune films|dark fantasy rulers|boss stance games,"Une main au sternum, l’autre vers l’extérieur; la posture doit sembler souveraine et inquiétante, pas mystique."
P060,politics,Tyrannie,Meurs,SkillAttack,finisher_or_boss_burst,mid_long,slow,very_high,Tyranny,very_high,single_finger_or_weapon_drop,single,head,true,Dune films|Sekiro|dark fantasy cinema,"Aucun grand mouvement: simple désignation puis chute sèche du doigt ou de l’arme; sur faibles, exécution, sur boss, énorme burst sans tuer instantanément."
