id,domain,family_or_school,name,input,role_or_form,range,tempo,commitment,damage_nature,equilibrium_pressure,locomotion_or_gesture,targeting,body_bias,finisher_candidate,inspiration_tags,animation_note
U001,unarmed,poing,jab_vertical,Light,opening,close,fast,low,Blunt,low,step_in,single,head_torso,false,The Raid|Sifu|Pak Mei,"Coup court vertical, coude près du corps; retour immédiat en garde."
U024,unarmed,counter,slip_cross,Dodge,counter,close,fast,low,Blunt,medium,slip,single,head,false,Boxing cinema|Sifu,Esquive du buste et réentrée directe dans l'axe.
U025,unarmed,counter,sidestep_bodyshot,Dodge,counter,close,fast,low,Blunt,medium,sidestep,single,torso,false,Sifu|The Raid,Pas latéral court puis frappe au flanc.
U026,unarmed,defense,duck_under,Dodge,reposition,close,fast,medium,Blunt,low,duck_step,single,none,false,Sifu|Boxing cinema,Passage sous attaque haute sans roulade.
U027,unarmed,defense,backstep_reentry,Dodge,bait,mid,medium,low,Blunt,low,backstep,single,none,false,Sekiro|Sifu,Retrait court suivi d'une fenêtre de réentrée.
U028,unarmed,defense,shoulder_roll,Dodge,reposition,close,fast,medium,Blunt,low,roll_side,single,none,false,Action cinema|Sifu,"Esquive compacte à l'épaule, pas de roulade acrobatique longue."
U029,unarmed,environment,wall_rebound_kick,SkillAttack,mobility,mid,medium,high,Blunt,high,wall_rebound,single,torso_head,true,Police Story|Sifu,Appui sur mur puis frappe; réservé aux contextes lisibles.
U030,unarmed,environment,vault_kick,SkillAttack,crowd,mid,medium,high,Blunt,high,vault,arc,head_torso,true,Police Story|Sifu,Franchissement d'un obstacle bas en frappant.
U031,unarmed,takedown,leg_reap_throw,Heavy,knockdown,close,medium,high,Blunt,very_high,step_through,single,leg_torso,true,John Wick|The Raid,"Fauchage de jambe + poussée, projection courte."
U032,unarmed,takedown,hip_bump_throw,Heavy,knockdown,close,medium,high,Blunt,very_high,turn,single,torso,true,Judo cinema|John Wick,Déséquilibre hanche sans animation de lutte prolongée.
U033,unarmed,takedown,arm_drag_knee,SkillAttack,burst,close,fast,medium,Blunt,high,pull_step,single,torso,true,The Raid|John Wick,Tire brièvement le bras pour créer l'axe du genou.
U034,unarmed,counter,sprawl_knee,SkillAttack,anti_grab,close,medium,medium,Blunt,high,drop,single,head_torso,true,MMA cinema|The Raid,Réponse contextuelle à une saisie/charge basse.
U035,unarmed,corps,double_palm_blast,Heavy,space,close_mid,medium,medium,Blunt,very_high,drive,cone,torso,false,Wuxia|Fighting games,"Double paume explosive, crédible mais légèrement stylisée."
U036,unarmed,poing,chain_punch_burst,SkillAttack,pressure,close,fast,high,Blunt,high,advance,single,torso_head,false,Ip Man|Sifu,Rafale très courte de frappes en avançant; durée limitée.
U037,unarmed,combo,three_point_combo,SkillAttack,burst,close,fast,medium,Blunt,high,advance,single,torso_head,true,The Raid|Sifu,"Poing corps → coude → genou, trois temps très nets."
U038,unarmed,combo,spinning_backfist_knee,SkillAttack,burst,close,medium,high,Blunt,very_high,spin_step,single,head_torso,true,The Raid|Fighting games,Revers tournant puis genou si le premier impact connecte.
U039,unarmed,finisher_seed,ground_stomp,Heavy,finish,close,slow,high,Blunt,very_high,stationary,single,torso_head,true,The Raid|Action cinema,Écrasement court sur ennemi au sol; réservé aux ouvertures.
U040,unarmed,finisher_seed,wall_pin_strike,SkillAttack,finish,close,medium,high,Blunt,very_high,drive,single,head_torso,true,The Raid|John Wick,Percute cible contre mur puis frappe unique; pas de longue cinématique.
